season,week,celebrity,judge_score_total,eliminated_flag
1,1,Evander Holyfield,18.0,0
1,1,Joey McIntyre,20.0,0
1,1,John O'Hurley,20.0,0
1,1,Kelly Monaco,13.0,0
1,1,Rachel Hunter,20.0,0
1,1,Trista Sutter,18.0,0
1,2,Evander Holyfield,14.0,0
1,2,Joey McIntyre,21.0,0
1,2,John O'Hurley,26.0,0
1,2,Kelly Monaco,17.0,0
1,2,Rachel Hunter,24.0,0
1,2,Trista Sutter,19.0,1
1,3,Evander Holyfield,13.0,1
1,3,Joey McIntyre,22.0,0
1,3,John O'Hurley,24.0,0
1,3,Kelly Monaco,21.0,0
1,3,Rachel Hunter,26.0,0
1,4,Joey McIntyre,20.0,0
1,4,John O'Hurley,21.0,0
1,4,Kelly Monaco,26.0,0
1,4,Rachel Hunter,25.0,1
1,5,Joey McIntyre,22.5,1
1,5,John O'Hurley,27.0,0
1,5,Kelly Monaco,23.5,0
1,6,John O'Hurley,27.0,1
1,6,Kelly Monaco,27.5,1
2,1,Drew Lachey,24.0,0
2,1,George Hamilton,18.0,0
2,1,Giselle Fernandez,23.0,0
2,1,Jerry Rice,21.0,0
2,1,Kenny Mayne,13.0,1
2,1,Lisa Rinna,19.0,0
2,1,Master P,12.0,0
2,1,Stacy Keibler,22.0,0
2,1,Tatum O'Neal,23.0,0
2,1,Tia Carrere,20.0,0
2,2,Drew Lachey,27.0,0
2,2,George Hamilton,22.0,0
2,2,Giselle Fernandez,24.0,0
2,2,Jerry Rice,23.0,0
2,2,Lisa Rinna,20.0,0
2,2,Master P,16.0,0
2,2,Stacy Keibler,29.0,0
2,2,Tatum O'Neal,17.0,1
2,2,Tia Carrere,22.0,0
2,3,Drew Lachey,27.0,0
2,3,George Hamilton,22.0,0
2,3,Giselle Fernandez,22.0,1
2,3,Jerry Rice,19.0,0
2,3,Lisa Rinna,25.0,0
2,3,Master P,14.0,0
2,3,Stacy Keibler,27.0,0
2,3,Tia Carrere,26.0,0
2,4,Drew Lachey,28.0,0
2,4,George Hamilton,21.0,0
2,4,Jerry Rice,24.0,0
2,4,Lisa Rinna,26.0,0
2,4,Master P,8.0,1
2,4,Stacy Keibler,26.0,0
2,4,Tia Carrere,25.0,0
2,5,Drew Lachey,27.0,0
2,5,George Hamilton,24.0,0
2,5,Jerry Rice,23.0,0
2,5,Lisa Rinna,25.0,0
2,5,Stacy Keibler,30.0,0
2,5,Tia Carrere,22.0,1
2,6,Drew Lachey,30.0,0
2,6,George Hamilton,23.0,1
2,6,Jerry Rice,23.0,0
2,6,Lisa Rinna,27.0,0
2,6,Stacy Keibler,30.0,0
2,7,Drew Lachey,27.5,0
2,7,Jerry Rice,20.5,0
2,7,Lisa Rinna,26.5,1
2,7,Stacy Keibler,27.5,0
2,8,Drew Lachey,28.9998,1
2,8,Jerry Rice,26.666600000000003,1
2,8,Stacy Keibler,28.6665,1
3,1,Emmitt Smith,24.0,0
3,1,Harry Hamlin,17.0,0
3,1,Jerry Springer,16.0,0
3,1,Joey Lawrence,21.0,0
3,1,Mario Lopez,26.0,0
3,1,Monique Coleman,19.0,0
3,1,Sara Evans,15.0,0
3,1,Shanna Moakler,18.0,0
3,1,Tucker Carlson,12.0,1
3,1,Vivica A. Fox,22.0,0
3,1,Willa Ford,22.0,0
3,2,Emmitt Smith,24.0,0
3,2,Harry Hamlin,21.0,0
3,2,Jerry Springer,19.0,0
3,2,Joey Lawrence,29.0,0
3,2,Mario Lopez,21.0,0
3,2,Monique Coleman,26.0,0
3,2,Sara Evans,21.0,0
3,2,Shanna Moakler,22.0,1
3,2,Vivica A. Fox,24.0,0
3,2,Willa Ford,23.0,0
3,3,Emmitt Smith,19.0,0
3,3,Harry Hamlin,22.0,1
3,3,Jerry Springer,21.0,0
3,3,Joey Lawrence,22.0,0
3,3,Mario Lopez,22.0,0
3,3,Monique Coleman,27.0,0
3,3,Sara Evans,25.0,0
3,3,Vivica A. Fox,27.0,0
3,3,Willa Ford,22.0,0
3,4,Emmitt Smith,24.0,0
3,4,Jerry Springer,22.0,0
3,4,Joey Lawrence,27.0,0
3,4,Mario Lopez,29.0,0
3,4,Monique Coleman,24.0,0
3,4,Sara Evans,20.0,0
3,4,Vivica A. Fox,24.0,1
3,4,Willa Ford,28.0,0
3,5,Emmitt Smith,27.0,0
3,5,Jerry Springer,24.0,0
3,5,Joey Lawrence,25.0,0
3,5,Mario Lopez,27.0,0
3,5,Monique Coleman,27.0,0
3,5,Sara Evans,24.0,1
3,5,Willa Ford,27.0,1
3,6,Emmitt Smith,25.0,0
3,6,Jerry Springer,18.0,0
3,6,Joey Lawrence,24.0,0
3,6,Mario Lopez,28.0,0
3,6,Monique Coleman,23.0,0
3,7,Emmitt Smith,28.5,0
3,7,Jerry Springer,23.0,1
3,7,Joey Lawrence,28.5,0
3,7,Mario Lopez,28.0,0
3,7,Monique Coleman,27.0,0
3,8,Emmitt Smith,27.0,0
3,8,Joey Lawrence,27.0,0
3,8,Mario Lopez,28.5,0
3,8,Monique Coleman,26.5,1
3,9,Emmitt Smith,29.5,0
3,9,Joey Lawrence,29.5,1
3,9,Mario Lopez,29.5,0
3,10,Emmitt Smith,29.666600000000003,1
3,10,Mario Lopez,29.666600000000003,1
4,1,Apolo Anton Ohno,21.0,0
4,1,Billy Ray Cyrus,13.0,0
4,1,Clyde Drexler,16.0,0
4,1,Heather Mills,18.0,0
4,1,Ian Ziering,21.0,0
4,1,Joey Fatone,24.0,0
4,1,John Ratzenberger,17.0,0
4,1,Laila Ali,23.0,0
4,1,Leeza Gibbons,15.0,0
4,1,Paulina Porizkova,19.0,0
4,1,Shandi Finnessey,19.0,0
4,2,Apolo Anton Ohno,26.0,0
4,2,Billy Ray Cyrus,21.0,0
4,2,Clyde Drexler,18.0,0
4,2,Heather Mills,24.0,0
4,2,Ian Ziering,22.0,0
4,2,Joey Fatone,24.0,0
4,2,John Ratzenberger,21.0,0
4,2,Laila Ali,27.0,0
