season,celebrity,eliminated_week
1,John O'Hurley,Runner-up
1,Kelly Monaco,Champion
1,Evander Holyfield,3
1,Rachel Hunter,4
1,Joey McIntyre,3rd Place
1,Trista Sutter,2
2,Tatum O'Neal,2
2,Tia Carrere,5
2,George Hamilton,6
2,Lisa Rinna,7
2,Stacy Keibler,3rd Place
2,Jerry Rice,Runner-up
2,Giselle Fernandez,3
2,Master P,4
2,Drew Lachey,Champion
2,Kenny Mayne,1
3,Harry Hamlin,3
3,Vivica A. Fox,4
3,Monique Coleman,8
3,Joey Lawrence,3rd Place
3,Mario Lopez,Runner-up
3,Emmitt Smith,Champion
3,Shanna Moakler,2
3,Willa Ford,5
3,Sara Evans,Withdrew
3,Jerry Springer,7
3,Tucker Carlson,1
4,John Ratzenberger,7
4,Ian Ziering,9
4,Clyde Drexler,5
4,Laila Ali,3rd Place
4,Apolo Anton Ohno,Champion
4,Shandi Finnessey,3
4,Paulina Porizkova,2
4,Heather Mills,6
4,Billy Ray Cyrus,8
4,Joey Fatone,Runner-up
4,Leeza Gibbons,4
5,Cameron Mathison,8
5,Jane Seymour,7
5,Sabrina Bryan,6
5,Jennie Garth,9
5,Floyd Mayweather Jr. ,4
5,Josie Maran,1
5,Albert Reed,2
5,Helio Castroneves,Champion
5,Mel B,Runner-up
5,Wayne Newton,3
5,Marie Osmond,3rd Place
5,Mark Cuban,5
6,Cristian de la Fuente,3rd Place
6,Steve Guttenberg,3
6,Priscilla Presley,5
6,Marlee Matlin,6
6,Shannon Elizabeth,7
6,Marissa Jaret Winokur,9
6,Jason Taylor,Runner-up
6,Kristi Yamaguchi,Champion
6,Monica Seles,2
6,Penn Jillette,2
6,Adam Carolla,4
6,Mario,8
7,Ted McGinley,1
7,Cloris Leachman,6
7,Susan Lucci,7
7,Cody Linley,9
7,Misty May-Treanor,Withdrew
7,Maurice Greene,8
7,Warren Sapp,Runner-up
7,Jeffrey Ross,1
7,Toni Braxton,5
7,Lance Bass,3rd Place
7,Kim Kardashian,2
7,Rocco DiSpirito,4
7,Brooke Burke,Champion
8,Gilles Marini,Runner-up
8,Denise Richards,3
8,David Alan Grier,5
8,Lawrence Taylor,7
8,Ty Murray,10
8,Shawn Johnson,Champion
8,Steve Wozniak,4
8,Belinda Carlisle,2
8,Chuck Wicks,8
8,Lil' Kim,9
8,Steve-O,6
8,Holly Madison,4
8,Melissa Rycroft,3rd Place
9,Ashley Hamiliton,1
9,Debi Mazar,3
9,Melissa Joan Hart,6
9,Mark Dacascos,7
9,Chuck Liddell,4
9,Natalie Coughlin,5
9,Louie Vito,6
9,Michael Irvin,7
9,Joanna Krupa,9
9,Kathy Ireland,2
9,Tom DeLay,Withdrew
9,Macy Gray,1
9,Aaron Carter,8
9,Mya,Runner-up
9,Donny Osmond,Champion
9,Kelly Osbourne,3rd Place
10,Aiden Turner,4
10,Shannen Doherty,2
10,Niecy Nash,8
10,Buzz Aldrin,3
10,Chad Ochocinco,9
10,Evan Lysacek,Runner-up
10,Pamela Anderson,7
10,Nicole Scherzinger,Champion
10,Erin Andrews,3rd Place
10,Kate Gosselin,5
10,Jake Pavelka,6
11,David Hasselhoff,1
11,Florence Henderson,5
11,Kyle Massey,Runner-up
11,Jennifer Grey,Champion
11,Rick Fox,7
11,Kurt Warner,8
11,Margaret Cho,3
11,Michael Bolton,2
11,Brandy,9
11,The Situation,4
11,Audrina Patridge,6
11,Bristol Palin,3rd Place
12,Ralph Macchio,9
12,Chelsea Kane,3rd Place
12,Kirstie Alley,Runner-up
12,Hines Ward,Champion
12,Sugar Ray Leonard,4
12,Chris Jericho,6
12,Petra Nemcova,5
12,Mike Catherwood,2
12,Romeo,8
12,Wendy Williams,3
12,Kendra Wilkinson,7
13,Elisabetta Canalis,2
13,David Arquette,7
13,Ricki Lake,3rd Place
13,J.R. Martinez,Champion
13,Metta World Peace (Ron),1
13,Hope Solo,9
13,Chynna Phillips,4
13,Kristin Cavallari,3
13,Carson Kressley,5
13,Chaz Bono,6
13,Nancy Grace,8
13,Rob Kardashian,Runner-up
14,William Levy,3rd Place
14,Jack Wagner,3
14,Sherri Sheperd,4
14,Jaleel White,7
14,Roshon Fegan,8
14,Melissa Gilbert,8
14,Martina Navratilova,2
14,Donald Driver,Champion
14,Gavin DeGraw,5
14,Gladys Knight,6
14,Katherine Jenkins,Runner-up
14,Maria Menounos,9
15,Gilles Marini,8
15,Sabrina Bryan,6
15,Kirstie Alley,8
15,Kelly Monaco,3rd Place
15,Apolo Anton Ohno,9
15,Emmitt Smith,9
15,Shawn Johnson,Runner-up
15,Pamela Anderson,1
15,Helio Castroneves,3
15,Joey Fatone,2
15,Drew Lachey,3
15,Bristol Palin,4
15,Melissa Rycroft,Champion
16,Ingo Rademacher,9
16,Zendaya,Runner-up
16,Dorothy Hamill,Withdrew
16,Victor Ortiz,6
16,Alexandra Raisman,10
16,Jacoby Jones,3rd Place
16,D. L. Hughley,5
16,Andy Dick,7
16,Wynonna Judd,3
16,Kellie Pickler,Champion
16,Lisa Vanderpump,4
16,Sean Lowe,8
17,Valerie Harper,4
17,Brant Daugherty,8
17,Elizabeth Berkley Lauren,9
17,Leah Remini,10
17,Corbin Bleu,Runner-up
17,Amber Riley,Champion
17,Keyshawn Johnson,2
17,Bill Engvall,11
17,Christina Milian,5
17,"Nicole ""Snooki"" Polizzi",7
17,Jack Osbourne,3rd Place
17,Bill Nye,3
18,Billy Dee Williams,Withdrew
18,Danica McKellar,8
18,James Maslow,10
18,Candace Cameron Bure,3rd Place
18,Sean Avery,2
18,Diana Nyad,2
18,Charlie White,9
18,Amy Purdy,Runner-up
18,Meryl Davis,Champion
18,Drew Carey,6
18,Cody Simpson,5
18,NeNe Leakes,7
19,Antonio Sabato Jr.,7
19,Jonathan Bennett,6
19,Lea Thompson,9
19,Janel Parrish,3rd Place
19,Alfonso Ribeiro,Champion
19,Lolo Jones,1
19,Randy Couture,3
19,Tommy Chong,10
19,Betsey Johnson,4
19,Michael Waltrip,8
19,Tavis Smiley,2
19,Bethany Mota,11
19,Sadie Robertson,Runner-up
20,Suzanne Somers,5
20,Willow Shields,7
20,Riker Lynch,Runner-up
20,Rumer Willis,Champion
20,Nastia Liukin,9
20,Michael Sam,4
20,Robert Herjavec,8
20,Charlotte McKinney,3
20,Noah Galloway,3rd Place
20,Redfoo,2
20,Patti LaBelle,6
20,Chris Soules,8
21,Gary Busey,4
21,Alexa PenaVega,9
21,Carlos PenaVega,11
21,Victor Espinoza,2
21,Alek Skarlatos,3rd Place
21,Chaka Khan,2
21,Andy Grammer,8
21,Tamar Braxton,Withdrew
21,Nick Carter,Runner-up
21,Hayes Grier,7
21,Bindi Irwin,Champion
21,Kim Zolciak-Biermann,Withdrew
21,Paula Deen,6
22,Mischa Barton,3
22,Kim Fields,7
22,Jodie Sweetin,8
22,Doug Flutie,6
22,Von Miller,7
22,Antonio Brown,9
22,Paige VanZant,Runner-up
22,Geraldo Rivera,2
22,Nyle DiMarco,Champion
22,Ginger Zee,3rd Place
22,Wanya Morris,9
22,Marla Maples,4
23,Jake T. Austin,2
23,Maureen McCormick,7
23,Marilu Henner,9
23,Ryan Lochte,8
23,Calvin Johnson Jr.,3rd Place
23,Laurie Hernandez,Champion
23,Amber Rose,6
23,Rick Perry,3
23,James Hinchcliffe,Runner-up
23,Babyface,4
23,Vanilla Ice,4
23,Jana Kramer,11
23,Terra Jole,10
24,Charo,3
24,Mr. T,4
24,Heather Morris,6
24,Nancy Kerrigan,7
24,Bonner Bolton,8
24,Simone Biles,9
24,David Ross,Runner-up
24,Rashad Jennings,Champion
24,Chris Kattan,2
24,Erika Jayne,5
