season,week,method,n_candidates,n_eliminated,eliminated,constraint_satisfied,violation_count,margin_min,margin_avg,pairwise_total,pairwise_violated,pairwise_violation_rate
1,2,Rank Sum (S1-2),6,1,Trista Sutter,1,0,0.0,0.0,5,0,0.0
1,3,Rank Sum (S1-2),5,1,Evander Holyfield,1,0,3.0,3.0,4,0,0.0
1,4,Rank Sum (S1-2),4,1,Rachel Hunter,0,1,-1.0,-1.0,3,1,0.3333333333333333
2,1,Rank Sum (S1-2),10,1,Kenny Mayne,1,0,4.0,4.0,9,0,0.0
2,2,Rank Sum (S1-2),9,1,Tatum O'Neal,1,0,3.0,3.0,8,0,0.0
2,3,Rank Sum (S1-2),8,1,Giselle Fernandez,1,0,3.0,3.0,7,0,0.0
2,4,Rank Sum (S1-2),7,1,Master P,0,2,-2.0,-2.0,6,2,0.3333333333333333
2,5,Rank Sum (S1-2),6,1,Tia Carrere,1,0,4.0,4.0,5,0,0.0
2,6,Rank Sum (S1-2),5,1,George Hamilton,1,0,0.0,0.0,4,0,0.0
2,7,Rank Sum (S1-2),4,1,Lisa Rinna,1,0,2.0,2.0,3,0,0.0
3,1,Percent Sum (S3-27),11,1,Tucker Carlson,1,0,1.5603156665465523,1.5603156665465523,10,0,0.0
3,2,Percent Sum (S3-27),10,1,Shanna Moakler,1,0,0.26514739830364675,0.26514739830364675,9,0,0.0
3,3,Percent Sum (S3-27),9,1,Harry Hamlin,1,0,0.6999300069992991,0.6999300069992991,8,0,0.0
3,4,Percent Sum (S3-27),8,1,Vivica A. Fox,1,0,2.6897979797979783,2.6897979797979783,7,0,0.0
3,5,Percent Sum (S3-27),7,1,Willa Ford,1,0,1.672874469767418,1.672874469767418,6,0,0.0
3,7,Percent Sum (S3-27),5,1,Jerry Springer,0,1,-7.217037037037038,-7.217037037037038,4,1,0.25
3,8,Percent Sum (S3-27),4,1,Monique Coleman,1,0,7.568715596330279,7.568715596330279,3,0,0.0
4,2,Percent Sum (S3-27),11,1,Paulina Porizkova,1,0,0.16172275748931852,0.16172275748931852,10,0,0.0
4,3,Percent Sum (S3-27),10,1,Shandi Finnessey,1,0,2.0061467889908275,2.0061467889908275,9,0,0.0
