season,week,celebrity,judge_score,FanVote%,method
1,1,Evander Holyfield,18.0,16.666666666666664,Rank
1,1,Joey McIntyre,20.0,16.666666666666664,Rank
1,1,John O'Hurley,20.0,16.666666666666664,Rank
1,1,Kelly Monaco,13.0,16.666666666666664,Rank
1,1,Rachel Hunter,20.0,16.666666666666664,Rank
1,1,Trista Sutter,18.0,16.666666666666664,Rank
1,2,Evander Holyfield,14.0,16.679766666666673,Rank
1,2,Joey McIntyre,21.0,16.66676666666666,Rank
1,2,John O'Hurley,26.0,16.666966666666664,Rank
1,2,Kelly Monaco,17.0,16.67396666666667,Rank
1,2,Rachel Hunter,24.0,16.66486666666666,Rank
1,2,Trista Sutter,19.0,16.64766666666666,Rank
1,3,Evander Holyfield,13.0,19.991733333333325,Rank
1,3,Joey McIntyre,22.0,20.00186666666666,Rank
1,3,John O'Hurley,24.0,20.000666666666664,Rank
1,3,Kelly Monaco,21.0,20.005200000000002,Rank
1,3,Rachel Hunter,26.0,20.00053333333333,Rank
1,4,Joey McIntyre,20.0,25.011,Rank
1,4,John O'Hurley,21.0,25.003000000000004,Rank
1,4,Kelly Monaco,26.0,24.999000000000002,Rank
1,4,Rachel Hunter,25.0,24.987000000000002,Rank
1,5,Joey McIntyre,22.5,33.33333333333333,Rank
1,5,John O'Hurley,27.0,33.33333333333333,Rank
1,5,Kelly Monaco,23.5,33.33333333333333,Rank
1,6,John O'Hurley,27.0,50.0,Rank
1,6,Kelly Monaco,27.5,50.0,Rank
2,1,Drew Lachey,24.0,9.999399999999998,Rank
2,1,George Hamilton,18.0,10.0098,Rank
2,1,Giselle Fernandez,23.0,9.994199999999998,Rank
2,1,Jerry Rice,21.0,10.003,Rank
2,1,Kenny Mayne,13.0,9.970199999999998,Rank
2,1,Lisa Rinna,19.0,10.0016,Rank
2,1,Master P,12.0,10.017000000000001,Rank
2,1,Stacy Keibler,22.0,10.000800000000002,Rank
2,1,Tatum O'Neal,23.0,10.001200000000008,Rank
2,1,Tia Carrere,20.0,10.0028,Rank
2,2,Drew Lachey,27.0,11.110311111111109,Rank
2,2,George Hamilton,22.0,11.114311111111112,Rank
2,2,Giselle Fernandez,24.0,11.112911111111107,Rank
2,2,Jerry Rice,23.0,11.11111111111111,Rank
2,2,Lisa Rinna,20.0,11.12111111111111,Rank
2,2,Master P,16.0,11.12251111111111,Rank
2,2,Stacy Keibler,29.0,11.11131111111111,Rank
2,2,Tatum O'Neal,17.0,11.082311111111116,Rank
2,2,Tia Carrere,22.0,11.114111111111114,Rank
2,3,Drew Lachey,27.0,12.497300000000005,Rank
2,3,George Hamilton,22.0,12.501999999999999,Rank
2,3,Giselle Fernandez,22.0,12.469000000000014,Rank
2,3,Jerry Rice,19.0,12.511099999999994,Rank
2,3,Lisa Rinna,25.0,12.501300000000004,Rank
2,3,Master P,14.0,12.515299999999991,Rank
2,3,Stacy Keibler,27.0,12.501599999999996,Rank
2,3,Tia Carrere,26.0,12.50239999999999,Rank
2,4,Drew Lachey,28.0,14.286714285714282,Rank
2,4,George Hamilton,21.0,14.29211428571429,Rank
2,4,Jerry Rice,24.0,14.291314285714282,Rank
2,4,Lisa Rinna,26.0,14.284014285714292,Rank
2,4,Master P,8.0,14.270514285714281,Rank
2,4,Stacy Keibler,26.0,14.288514285714287,Rank
2,4,Tia Carrere,25.0,14.286814285714271,Rank
2,5,Drew Lachey,27.0,16.66796666666666,Rank
2,5,George Hamilton,24.0,16.66786666666667,Rank
2,5,Jerry Rice,23.0,16.674866666666667,Rank
2,5,Lisa Rinna,25.0,16.66706666666667,Rank
2,5,Stacy Keibler,30.0,16.665766666666666,Rank
2,5,Tia Carrere,22.0,16.65646666666666,Rank
2,6,Drew Lachey,30.0,20.000384615384615,Rank
2,6,George Hamilton,23.0,19.987692307692306,Rank
2,6,Jerry Rice,23.0,20.008846153846154,Rank
2,6,Lisa Rinna,27.0,20.002692307692314,Rank
2,6,Stacy Keibler,30.0,20.00038461538461,Rank
2,7,Drew Lachey,27.5,25.0,Rank
2,7,Jerry Rice,20.5,25.008333333333336,Rank
2,7,Lisa Rinna,26.5,24.991666666666664,Rank
2,7,Stacy Keibler,27.5,25.0,Rank
2,8,Drew Lachey,28.9998,33.33333333333333,Rank
2,8,Jerry Rice,26.666600000000003,33.33333333333333,Rank
2,8,Stacy Keibler,28.6665,33.33333333333333,Rank
3,1,Emmitt Smith,24.0,9.090909090909092,Percent
3,1,Harry Hamlin,17.0,9.090909090909092,Percent
3,1,Jerry Springer,16.0,9.090909090909092,Percent
3,1,Joey Lawrence,21.0,9.090909090909092,Percent
3,1,Mario Lopez,26.0,9.090909090909092,Percent
3,1,Monique Coleman,19.0,9.090909090909092,Percent
3,1,Sara Evans,15.0,9.090909090909092,Percent
3,1,Shanna Moakler,18.0,9.090909090909092,Percent
3,1,Tucker Carlson,12.0,9.090909090909092,Percent
3,1,Vivica A. Fox,22.0,9.090909090909092,Percent
3,1,Willa Ford,22.0,9.090909090909092,Percent
3,2,Emmitt Smith,24.0,9.995747570239685,Percent
3,2,Harry Hamlin,21.0,9.995747570239857,Percent
3,2,Jerry Springer,19.0,10.669183632083975,Percent
3,2,Joey Lawrence,29.0,9.995747570239862,Percent
3,2,Mario Lopez,21.0,9.995747570239937,Percent
3,2,Monique Coleman,26.0,9.99574757023986,Percent
3,2,Sara Evans,21.0,9.995747570239894,Percent
3,2,Shanna Moakler,22.0,9.364835805997016,Percent
3,2,Vivica A. Fox,24.0,9.995747570239992,Percent
3,2,Willa Ford,23.0,9.995747570239939,Percent
3,3,Emmitt Smith,19.0,11.854118372253417,Percent
3,3,Harry Hamlin,22.0,10.404843009934577,Percent
3,3,Jerry Springer,21.0,11.105862659687432,Percent
3,3,Joey Lawrence,22.0,11.10586265968745,Percent
3,3,Mario Lopez,22.0,11.105862659687492,Percent
3,3,Monique Coleman,27.0,11.105862659687372,Percent
3,3,Sara Evans,25.0,11.105862659687409,Percent
3,3,Vivica A. Fox,27.0,11.105862659687398,Percent
3,3,Willa Ford,22.0,11.105862659687443,Percent
3,4,Emmitt Smith,24.0,12.489794365604547,Percent
3,4,Jerry Springer,22.0,12.516977569524567,Percent
3,4,Joey Lawrence,27.0,12.48981823145545,Percent
3,4,Mario Lopez,29.0,12.489818231455473,Percent
3,4,Monique Coleman,24.0,12.489818231455429,Percent
3,4,Sara Evans,20.0,13.527078579625579,Percent
3,4,Vivica A. Fox,24.0,11.506876559423558,Percent
3,4,Willa Ford,28.0,12.489818231455397,Percent
3,5,Emmitt Smith,27.0,14.276309514454057,Percent
3,5,Jerry Springer,24.0,14.845254052004735,Percent
3,5,Joey Lawrence,25.0,14.292767864159433,Percent
3,5,Mario Lopez,27.0,14.276309514454114,Percent
3,5,Monique Coleman,27.0,14.276309514454107,Percent
3,5,Sara Evans,24.0,14.845254052004735,Percent
3,5,Willa Ford,27.0,13.187795488468822,Percent
3,6,Emmitt Smith,25.0,20.0,Percent
3,6,Jerry Springer,18.0,20.0,Percent
3,6,Joey Lawrence,24.0,20.0,Percent
3,6,Mario Lopez,28.0,20.0,Percent
3,6,Monique Coleman,23.0,20.0,Percent
3,7,Emmitt Smith,28.5,20.0,Percent
3,7,Jerry Springer,23.0,20.0,Percent
3,7,Joey Lawrence,28.5,20.0,Percent
3,7,Mario Lopez,28.0,20.0,Percent
3,7,Monique Coleman,27.0,20.0,Percent
3,8,Emmitt Smith,27.0,25.0,Percent
3,8,Joey Lawrence,27.0,25.0,Percent
3,8,Mario Lopez,28.5,25.0,Percent
3,8,Monique Coleman,26.5,25.0,Percent
3,9,Emmitt Smith,29.5,33.33333333333333,Percent
3,9,Joey Lawrence,29.5,33.33333333333333,Percent
3,9,Mario Lopez,29.5,33.33333333333333,Percent
3,10,Emmitt Smith,29.666600000000003,50.0,Percent
3,10,Mario Lopez,29.666600000000003,50.0,Percent
4,1,Apolo Anton Ohno,21.0,9.090909090909092,Percent
4,1,Billy Ray Cyrus,13.0,9.090909090909092,Percent
4,1,Clyde Drexler,16.0,9.090909090909092,Percent
4,1,Heather Mills,18.0,9.090909090909092,Percent
4,1,Ian Ziering,21.0,9.090909090909092,Percent
4,1,Joey Fatone,24.0,9.090909090909092,Percent
4,1,John Ratzenberger,17.0,9.090909090909092,Percent
4,1,Laila Ali,23.0,9.090909090909092,Percent
4,1,Leeza Gibbons,15.0,9.090909090909092,Percent
4,1,Paulina Porizkova,19.0,9.090909090909092,Percent
4,1,Shandi Finnessey,19.0,9.090909090909092,Percent
4,2,Apolo Anton Ohno,26.0,9.087201454098707,Percent
4,2,Billy Ray Cyrus,21.0,9.08720413432218,Percent
4,2,Clyde Drexler,18.0,9.719834484069592,Percent
4,2,Heather Mills,24.0,9.087204134321976,Percent
4,2,Ian Ziering,22.0,9.087204134322063,Percent
4,2,Joey Fatone,24.0,9.087204134322102,Percent
4,2,John Ratzenberger,21.0,9.087204134321937,Percent
4,2,Laila Ali,27.0,9.087204134322088,Percent
4,2,Leeza Gibbons,21.0,9.087198772976116,Percent
4,2,Paulina Porizkova,21.0,8.495344688151226,Percent
4,2,Shandi Finnessey,20.0,9.087195794772017,Percent
4,3,Apolo Anton Ohno,23.0,9.986851693581853,Percent
4,3,Billy Ray Cyrus,21.0,9.986851693581938,Percent
4,3,Clyde Drexler,16.0,11.199382216497973,Percent
4,3,Heather Mills,24.0,9.98685169358186,Percent
4,3,Ian Ziering,24.0,9.986851693581897,Percent
4,3,Joey Fatone,24.0,9.986851693581873,Percent
4,3,John Ratzenberger,20.0,9.986851693582047,Percent
4,3,Laila Ali,21.0,9.986851693581986,Percent
4,3,Leeza Gibbons,24.0,9.986851693581977,Percent
4,3,Shandi Finnessey,21.0,8.905804234846599,Percent
4,4,Apolo Anton Ohno,26.0,11.110425601830814,Percent
4,4,Billy Ray Cyrus,21.0,11.110425601830803,Percent
4,4,Clyde Drexler,15.0,11.376681700467115,Percent
4,4,Heather Mills,23.0,11.11042560183077,Percent
4,4,Ian Ziering,24.0,11.110425601830881,Percent
4,4,Joey Fatone,28.0,11.110398777554574,Percent
4,4,John Ratzenberger,16.0,11.110425601830755,Percent
4,4,Laila Ali,21.0,11.110425601830851,Percent
4,4,Leeza Gibbons,16.0,10.850365910993432,Percent
4,5,Apolo Anton Ohno,30.0,12.5,Percent
4,5,Billy Ray Cyrus,17.0,12.5,Percent
4,5,Clyde Drexler,13.0,12.5,Percent
4,5,Heather Mills,21.0,12.5,Percent
4,5,Ian Ziering,24.0,12.5,Percent
4,5,Joey Fatone,25.0,12.5,Percent
4,5,John Ratzenberger,18.0,12.5,Percent
4,5,Laila Ali,28.0,12.5,Percent
4,6,Apolo Anton Ohno,28.0,14.27188950951184,Percent
4,6,Billy Ray Cyrus,21.0,14.304147320650692,Percent
4,6,Heather Mills,23.0,13.127676732415402,Percent
4,6,Ian Ziering,24.0,14.271889509511993,Percent
4,6,Joey Fatone,27.0,14.271889509511984,Percent
4,6,John Ratzenberger,19.0,15.480617908885991,Percent
4,6,Laila Ali,28.0,14.271889509512095,Percent
4,7,Apolo Anton Ohno,27.0,16.653858341992663,Percent
4,7,Billy Ray Cyrus,19.0,17.824988786034847,Percent
4,7,Ian Ziering,27.0,16.65385834199265,Percent
4,7,Joey Fatone,29.5,16.6538344828929,Percent
4,7,John Ratzenberger,22.5,15.559616617750061,Percent
4,7,Laila Ali,29.5,16.653843429336884,Percent
4,8,Apolo Anton Ohno,29.0,20.0,Percent
4,8,Billy Ray Cyrus,19.0,20.0,Percent
4,8,Ian Ziering,23.5,20.0,Percent
4,8,Joey Fatone,27.5,20.0,Percent
4,8,Laila Ali,26.5,20.0,Percent
4,9,Apolo Anton Ohno,29.5,25.0,Percent
4,9,Ian Ziering,29.0,25.0,Percent
4,9,Joey Fatone,30.0,25.0,Percent
4,9,Laila Ali,30.0,25.0,Percent
4,10,Apolo Anton Ohno,29.3332,33.33333333333333,Percent
4,10,Joey Fatone,28.6665,33.33333333333333,Percent
4,10,Laila Ali,28.333200000000005,33.33333333333333,Percent
5,1,Albert Reed,21.0,8.333333333333332,Percent
5,1,Cameron Mathison,21.0,8.333333333333332,Percent
5,1,Floyd Mayweather Jr. ,18.0,8.333333333333332,Percent
5,1,Helio Castroneves,25.0,8.333333333333332,Percent
5,1,Jane Seymour,24.0,8.333333333333332,Percent
5,1,Jennie Garth,21.0,8.333333333333332,Percent
5,1,Josie Maran,16.0,8.333333333333332,Percent
5,1,Marie Osmond,21.0,8.333333333333332,Percent
5,1,Mark Cuban,21.0,8.333333333333332,Percent
5,1,Mel B,24.0,8.333333333333332,Percent
5,1,Sabrina Bryan,26.0,8.333333333333332,Percent
5,1,Wayne Newton,19.0,8.333333333333332,Percent
5,2,Albert Reed,21.0,7.872406748807725,Percent
5,2,Cameron Mathison,21.0,9.075159361100834,Percent
5,2,Floyd Mayweather Jr. ,21.0,9.075159361100864,Percent
5,2,Helio Castroneves,27.0,9.07515936110072,Percent
5,2,Jane Seymour,21.0,9.075159361100667,Percent
5,2,Jennie Garth,21.0,9.075159361100637,Percent
5,2,Marie Osmond,24.0,9.075159361100447,Percent
5,2,Mark Cuban,18.0,9.132910950488398,Percent
5,2,Mel B,23.0,9.075156978921072,Percent
5,2,Sabrina Bryan,26.0,9.075154003009564,Percent
5,2,Wayne Newton,15.0,10.393415152169071,Percent
5,3,Cameron Mathison,23.0,10.0,Percent
5,3,Floyd Mayweather Jr. ,21.0,10.0,Percent
5,3,Helio Castroneves,24.0,10.0,Percent
5,3,Jane Seymour,27.0,10.0,Percent
5,3,Jennie Garth,26.0,10.0,Percent
5,3,Marie Osmond,26.0,10.0,Percent
5,3,Mark Cuban,20.0,10.0,Percent
5,3,Mel B,27.0,10.0,Percent
5,3,Sabrina Bryan,27.0,10.0,Percent
5,3,Wayne Newton,18.0,10.0,Percent
5,4,Cameron Mathison,27.0,11.110655111103853,Percent
5,4,Floyd Mayweather Jr. ,23.0,10.899031897461581,Percent
5,4,Helio Castroneves,27.0,11.110655111103814,Percent
5,4,Jane Seymour,26.0,11.110655111103751,Percent
5,4,Jennie Garth,27.0,11.110655111103798,Percent
5,4,Marie Osmond,26.0,11.110655111103735,Percent
5,4,Mark Cuban,22.0,11.326382324812007,Percent
5,4,Mel B,26.0,11.110655111103746,Percent
5,4,Sabrina Bryan,30.0,11.110655111103709,Percent
5,5,Cameron Mathison,26.0,12.5,Percent
5,5,Helio Castroneves,23.0,12.5,Percent
5,5,Jane Seymour,26.0,12.5,Percent
5,5,Jennie Garth,25.0,12.5,Percent
5,5,Marie Osmond,21.0,12.5,Percent
5,5,Mark Cuban,21.0,12.5,Percent
5,5,Mel B,29.0,12.5,Percent
5,5,Sabrina Bryan,28.0,12.5,Percent
5,6,Cameron Mathison,25.0,14.27854813070698,Percent
5,6,Helio Castroneves,28.0,14.278548130707023,Percent
5,6,Jane Seymour,22.0,15.036009899798028,Percent
5,6,Jennie Garth,27.0,14.278548130707117,Percent
5,6,Marie Osmond,23.0,14.480454344242471,Percent
5,6,Mel B,30.0,14.278548130707017,Percent
5,6,Sabrina Bryan,25.0,13.369343233131362,Percent
5,7,Cameron Mathison,25.5,16.666666666666664,Percent
5,7,Helio Castroneves,26.0,16.666666666666664,Percent
5,7,Jane Seymour,25.0,16.666666666666664,Percent
5,7,Jennie Garth,26.5,16.666666666666664,Percent
5,7,Marie Osmond,26.0,16.666666666666664,Percent
5,7,Mel B,27.0,16.666666666666664,Percent
5,8,Cameron Mathison,25.5,19.620733239247873,Percent
5,8,Helio Castroneves,28.5,19.998548249439178,Percent
5,8,Jennie Garth,25.0,20.00096137613,Percent
5,8,Marie Osmond,24.5,20.381189513012128,Percent
5,8,Mel B,28.0,19.998567622170825,Percent
5,9,Helio Castroneves,30.0,24.998167829685602,Percent
5,9,Jennie Garth,29.0,24.574474292029482,Percent
5,9,Marie Osmond,28.0,25.429175146730337,Percent
5,9,Mel B,30.0,24.99818273155458,Percent
5,10,Helio Castroneves,27.999900000000004,33.33333333333333,Percent
5,10,Marie Osmond,23.0,33.33333333333333,Percent
5,10,Mel B,28.3332,33.33333333333333,Percent
6,1,Adam Carolla,15.0,8.333333333333332,Percent
6,1,Cristian de la Fuente,21.0,8.333333333333332,Percent
6,1,Jason Taylor,22.0,8.333333333333332,Percent
6,1,Kristi Yamaguchi,27.0,8.333333333333332,Percent
6,1,Mario,24.0,8.333333333333332,Percent
6,1,Marissa Jaret Winokur,18.0,8.333333333333332,Percent
6,1,Marlee Matlin,22.0,8.333333333333332,Percent
6,1,Monica Seles,15.0,8.333333333333332,Percent
6,1,Penn Jillette,16.0,8.333333333333332,Percent
6,1,Priscilla Presley,24.0,8.333333333333332,Percent
6,1,Shannon Elizabeth,21.0,8.333333333333332,Percent
6,1,Steve Guttenberg,18.0,8.333333333333332,Percent
6,2,Adam Carolla,19.0,8.332968080474263,Percent
6,2,Cristian de la Fuente,20.0,8.332968080473977,Percent
6,2,Jason Taylor,27.0,8.332968080474116,Percent
6,2,Kristi Yamaguchi,27.0,8.332968080473945,Percent
6,2,Mario,26.0,8.332968080473838,Percent
6,2,Marissa Jaret Winokur,21.0,8.332968080473885,Percent
6,2,Marlee Matlin,24.0,8.33296808047362,Percent
6,2,Monica Seles,15.0,8.332968080474084,Percent
6,2,Penn Jillette,17.0,8.140601109981418,Percent
6,2,Priscilla Presley,21.0,8.33297403893981,Percent
6,2,Shannon Elizabeth,24.0,8.33297403893987,Percent
6,2,Steve Guttenberg,16.0,8.529706168347177,Percent
6,3,Adam Carolla,21.0,9.998080803938594,Percent
6,3,Cristian de la Fuente,25.0,9.99808080393865,Percent
6,3,Jason Taylor,23.0,9.998080803938734,Percent
6,3,Kristi Yamaguchi,27.0,9.99808080393853,Percent
6,3,Mario,21.0,9.998080803938594,Percent
6,3,Marissa Jaret Winokur,19.0,10.446273275473445,Percent
6,3,Marlee Matlin,21.0,9.998080803938645,Percent
6,3,Priscilla Presley,26.0,9.998080803938684,Percent
6,3,Shannon Elizabeth,24.0,9.998080803938821,Percent
6,3,Steve Guttenberg,21.0,9.569080293017304,Percent
6,4,Adam Carolla,19.0,11.11111111111111,Percent
6,4,Cristian de la Fuente,26.0,11.11111111111111,Percent
6,4,Jason Taylor,29.0,11.11111111111111,Percent
6,4,Kristi Yamaguchi,29.0,11.11111111111111,Percent
6,4,Mario,24.0,11.11111111111111,Percent
6,4,Marissa Jaret Winokur,24.0,11.11111111111111,Percent
6,4,Marlee Matlin,24.0,11.11111111111111,Percent
6,4,Priscilla Presley,22.0,11.11111111111111,Percent
