season,celebrity,week,FanVote%
1,Evander Holyfield,1,12.74
1,Evander Holyfield,2,12.28
1,Evander Holyfield,3,11.26
1,Joey McIntyre,1,16.25
1,Joey McIntyre,2,15.87
1,Joey McIntyre,3,15.72
1,Joey McIntyre,4,17.0
1,Joey McIntyre,5,15.75
1,John O'Hurley,1,30.39
1,John O'Hurley,2,30.83
1,John O'Hurley,3,32.09
1,John O'Hurley,4,36.73
1,John O'Hurley,5,37.8
1,John O'Hurley,6,44.82
1,Kelly Monaco,1,36.24
1,Kelly Monaco,2,37.23
1,Kelly Monaco,3,38.65
1,Kelly Monaco,4,44.12
1,Kelly Monaco,5,46.45
1,Kelly Monaco,6,55.18
1,Rachel Hunter,1,2.96
1,Rachel Hunter,2,2.6
1,Rachel Hunter,3,2.28
1,Rachel Hunter,4,2.15
1,Trista Sutter,1,1.43
1,Trista Sutter,2,1.2
2,Drew Lachey,1,9.16
2,Drew Lachey,2,8.98
2,Drew Lachey,3,8.76
2,Drew Lachey,4,8.75
2,Drew Lachey,5,12.47
2,Drew Lachey,6,12.26
2,Drew Lachey,7,12.4
2,Drew Lachey,8,12.72
2,George Hamilton,1,5.14
2,George Hamilton,2,4.82
2,George Hamilton,3,4.47
2,George Hamilton,4,4.15
2,George Hamilton,5,5.46
2,George Hamilton,6,4.82
2,Giselle Fernandez,1,0.71
2,Giselle Fernandez,2,0.59
2,Giselle Fernandez,3,0.48
2,Jerry Rice,1,34.67
2,Jerry Rice,2,36.94
2,Jerry Rice,3,39.16
2,Jerry Rice,4,42.04
2,Jerry Rice,5,64.44
2,Jerry Rice,6,68.09
2,Jerry Rice,7,73.07
2,Jerry Rice,8,74.97
2,Kenny Mayne,1,1.92
2,Lisa Rinna,1,3.59
2,Lisa Rinna,2,3.3
2,Lisa Rinna,3,2.94
2,Lisa Rinna,4,2.67
2,Lisa Rinna,5,3.45
2,Lisa Rinna,6,2.99
2,Lisa Rinna,7,2.54
2,Master P,1,31.99
2,Master P,2,33.2
2,Master P,3,33.8
2,Master P,4,32.25
2,Stacy Keibler,1,8.92
2,Stacy Keibler,2,8.73
2,Stacy Keibler,3,8.5
2,Stacy Keibler,4,8.47
2,Stacy Keibler,5,12.04
2,Stacy Keibler,6,11.85
2,Stacy Keibler,7,12.0
2,Stacy Keibler,8,12.31
2,Tatum O'Neal,1,1.47
2,Tatum O'Neal,2,1.28
2,Tia Carrere,1,2.41
2,Tia Carrere,2,2.15
2,Tia Carrere,3,1.89
2,Tia Carrere,4,1.69
2,Tia Carrere,5,2.14
3,Emmitt Smith,1,28.2
3,Emmitt Smith,2,29.67
3,Emmitt Smith,3,30.98
3,Emmitt Smith,4,31.88
3,Emmitt Smith,5,32.91
3,Emmitt Smith,6,36.32
3,Emmitt Smith,7,37.94
3,Emmitt Smith,8,46.05
3,Emmitt Smith,9,49.66
3,Emmitt Smith,10,56.23
3,Harry Hamlin,1,1.14
3,Harry Hamlin,2,0.97
3,Harry Hamlin,3,0.75
3,Jerry Springer,1,18.22
3,Jerry Springer,2,18.63
3,Jerry Springer,3,18.52
3,Jerry Springer,4,18.42
3,Jerry Springer,5,18.14
3,Jerry Springer,6,17.33
3,Jerry Springer,7,15.68
3,Joey Lawrence,1,12.7
3,Joey Lawrence,2,12.73
3,Joey Lawrence,3,12.64
3,Joey Lawrence,4,12.63
3,Joey Lawrence,5,12.64
3,Joey Lawrence,6,12.57
3,Joey Lawrence,7,11.78
3,Joey Lawrence,8,12.79
